marque,modele,annee,annee_i,Type,SousType,carburant,carburant_n,tranche_km,n_total,prix_min_w,prix_max_w,prix_moyen_w,prix_median_w,prix_min_estime,prix_max_estime,prix_moyen_estime,prix_median_estime,prix_moyen_final,estimation_eur_f,roi_brut_mensuel,payback_mois,taux_rentabilite,presence_marche_fuel,presence_marche_total,any_error,errors,statut,marque_n,modele_n
Citroen,Berlingo,2025,2025,Utilitaire,Fourgonnette,,diesel,50-100 000 km,9.0,19350.0,34750.0,25117.0,24890.0,19350.0,34750.0,25117.0,24890.0,25117.0,555.0,0.022096587968308316,45.255855855855856,1.325795278098499,18.0,36.0,False,,Mixte (alternances),citroen,berlingo
Citroen,Berlingo,2025,2025,Utilitaire,Fourgonnette,,essence,50-100 000 km,9.0,19350.0,34750.0,25117.0,24890.0,19350.0,34750.0,25117.0,24890.0,25117.0,555.0,0.022096587968308316,45.255855855855856,1.325795278098499,18.0,36.0,False,,Mixte (alternances),citroen,berlingo
Citroen,C1,2016,2016,Citadine,Mini,,diesel,0-50 000 km,9.0,3500.0,7490.0,5993.0,6250.0,3500.0,7490.0,5993.0,6250.0,5993.0,285.0,0.04755548139496079,21.028070175438597,2.8533288836976474,27.0,46.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2016,2016,Citadine,Mini,,essence,0-50 000 km,0.0,0.0,0.0,0.0,0.0,5400.0,9990.0,7473.0,7374.0,7473.0,285.0,0.0381372942593336,26.221052631578946,2.288237655560016,19.0,46.0,True,TimeoutError: Page.goto: Timeout 30000ms exceeded.,Devenu incompatible,citroen,c1
Citroen,C1,2016,2016,Citadine,Mini,,diesel,100-150 000 km,9.0,3500.0,7490.0,5993.0,6250.0,3500.0,7490.0,5993.0,6250.0,5993.0,285.0,0.04755548139496079,21.028070175438597,2.8533288836976474,27.0,46.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2016,2016,Citadine,Mini,,essence,100-150 000 km,9.0,3500.0,6750.0,5472.0,5950.0,3500.0,6750.0,5472.0,5950.0,5472.0,285.0,0.052083333333333336,19.2,3.125,19.0,46.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2016,2016,Citadine,Mini,,diesel,50-100 000 km,9.0,3500.0,7490.0,5993.0,6250.0,3500.0,7490.0,5993.0,6250.0,5993.0,285.0,0.04755548139496079,21.028070175438597,2.8533288836976474,27.0,46.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2016,2016,Citadine,Mini,,essence,50-100 000 km,10.0,3500.0,7490.0,5984.0,6125.0,3500.0,7490.0,5984.0,6125.0,5984.0,285.0,0.047627005347593586,20.996491228070177,2.857620320855615,19.0,46.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2017,2017,Citadine,Mini,,diesel,0-50 000 km,6.0,5400.0,9990.0,7473.0,7374.0,5400.0,9990.0,7473.0,7374.0,7473.0,171.0,0.02288237655560016,43.70175438596491,1.3729425933360095,18.0,36.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2017,2017,Citadine,Mini,,essence,0-50 000 km,8.0,5400.0,9990.0,7473.0,7374.0,5400.0,9990.0,7473.0,7374.0,7473.0,171.0,0.02288237655560016,43.70175438596491,1.3729425933360095,18.0,36.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2017,2017,Citadine,Mini,,diesel,100-150 000 km,6.0,5400.0,9990.0,7473.0,7374.0,5400.0,9990.0,7473.0,7374.0,7473.0,171.0,0.02288237655560016,43.70175438596491,1.3729425933360095,18.0,36.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2017,2017,Citadine,Mini,,essence,100-150 000 km,3.0,3900.0,8500.0,5933.0,5400.0,3900.0,8500.0,5933.0,5400.0,5933.0,171.0,0.028821843923815944,34.69590643274854,1.7293106354289567,18.0,36.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2017,2017,Citadine,Mini,,diesel,50-100 000 km,6.0,5400.0,9990.0,7473.0,7374.0,5400.0,9990.0,7473.0,7374.0,7473.0,171.0,0.02288237655560016,43.70175438596491,1.3729425933360095,18.0,36.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2017,2017,Citadine,Mini,,essence,50-100 000 km,7.0,4800.0,9990.0,7091.0,7250.0,4800.0,9990.0,7091.0,7250.0,7091.0,171.0,0.02411507544775067,41.46783625730994,1.4469045268650402,18.0,36.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2018,2018,Citadine,Mini,,diesel,0-50 000 km,7.0,6490.0,9990.0,8118.0,7499.0,6490.0,9990.0,8118.0,7499.0,8118.0,180.0,0.022172949002217297,45.1,1.3303769401330376,21.0,37.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2018,2018,Citadine,Mini,,essence,0-50 000 km,1.0,9550.0,9550.0,9550.0,9550.0,9550.0,9550.0,9550.0,9550.0,9550.0,180.0,0.018848167539267015,53.05555555555556,1.130890052356021,16.0,37.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2018,2018,Citadine,Mini,,diesel,100-150 000 km,7.0,6490.0,9990.0,8118.0,7499.0,6490.0,9990.0,8118.0,7499.0,8118.0,180.0,0.022172949002217297,45.1,1.3303769401330376,21.0,37.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2018,2018,Citadine,Mini,,essence,100-150 000 km,8.0,4300.0,9990.0,7640.0,7399.0,4300.0,9990.0,7640.0,7399.0,7640.0,180.0,0.02356020942408377,42.44444444444444,1.4136125654450262,16.0,37.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2018,2018,Citadine,Mini,,diesel,50-100 000 km,7.0,6490.0,9990.0,8118.0,7499.0,6490.0,9990.0,8118.0,7499.0,8118.0,180.0,0.022172949002217297,45.1,1.3303769401330376,21.0,37.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2018,2018,Citadine,Mini,,essence,50-100 000 km,7.0,6490.0,9990.0,8118.0,7499.0,6490.0,9990.0,8118.0,7499.0,8118.0,180.0,0.022172949002217297,45.1,1.3303769401330376,16.0,37.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2019,2019,Citadine,Mini,,diesel,0-50 000 km,0.0,0.0,0.0,0.0,0.0,7245.0,10245.0,8668.0,8400.0,8668.0,189.0,0.02180433779418551,45.86243386243386,1.3082602676511306,14.0,38.0,True,TimeoutError: Page.goto: Timeout 30000ms exceeded.,Devenu incompatible,citroen,c1
Citroen,C1,2019,2019,Citadine,Mini,,essence,0-50 000 km,7.0,7800.0,12499.0,9468.0,8990.0,7800.0,12499.0,9468.0,8990.0,9468.0,189.0,0.019961977186311788,50.095238095238095,1.1977186311787071,24.0,38.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2019,2019,Citadine,Mini,,diesel,100-150 000 km,7.0,7800.0,12499.0,9468.0,8990.0,7800.0,12499.0,9468.0,8990.0,9468.0,189.0,0.019961977186311788,50.095238095238095,1.1977186311787071,14.0,38.0,False,,Devenu incompatible,citroen,c1
Citroen,C1,2019,2019,Citadine,Mini,,essence,100-150 000 km,7.0,7800.0,12499.0,9468.0,8990.0,7800.0,12499.0,9468.0,8990.0,9468.0,189.0,0.019961977186311788,50.095238095238095,1.1977186311787071,24.0,38.0,False,,Devenu incompatible,citroen,c1
